Arreglo_ordenado,tamano_arreglo,tiempo_segundos,llamadas_heapify,fecha_hora
1,200000,2.404821,3150210,2025-06-10 00:00:17
2,200000,2.438184,3150179,2025-06-10 00:00:19
3,200000,2.465533,3149708,2025-06-10 00:00:22
4,200000,2.423324,3149717,2025-06-10 00:00:24
5,200000,2.432561,3150146,2025-06-10 00:00:27
6,200000,2.425063,3149773,2025-06-10 00:00:29
7,200000,2.45499,3150177,2025-06-10 00:00:32
8,200000,2.417147,3149225,2025-06-10 00:00:34
9,200000,2.393026,3149996,2025-06-10 00:00:36
10,200000,2.441435,3149708,2025-06-10 00:00:39
1,200000,2.415358,3150210,2025-06-10 00:00:41
2,200000,2.446576,3150179,2025-06-10 00:00:44
3,200000,2.404191,3149708,2025-06-10 00:00:46
4,200000,2.500854,3149717,2025-06-10 00:00:49
5,200000,2.437188,3150146,2025-06-10 00:00:51
6,200000,2.470129,3149773,2025-06-10 00:00:54
7,200000,2.426752,3150177,2025-06-10 00:00:56
8,200000,2.426737,3149225,2025-06-10 00:00:59
9,200000,2.442752,3149996,2025-06-10 00:01:01
10,200000,2.476439,3149708,2025-06-10 00:01:04
1,200000,2.482698,3150210,2025-06-10 00:01:06
2,200000,2.496562,3150179,2025-06-10 00:01:09
3,200000,2.522111,3149708,2025-06-10 00:01:11
4,200000,2.463279,3149717,2025-06-10 00:01:14
5,200000,2.473605,3150146,2025-06-10 00:01:16
6,200000,2.435619,3149773,2025-06-10 00:01:18
7,200000,2.459829,3150177,2025-06-10 00:01:21
8,200000,2.490528,3149225,2025-06-10 00:01:23
9,200000,2.444976,3149996,2025-06-10 00:01:26
10,200000,2.429839,3149708,2025-06-10 00:01:28
