Arreglo_ordenado,tamano_arreglo,tiempo_segundos,llamadas_heapify,fecha_hora
1,20000,0.213084,248325,2025-06-10 11:22:18
2,20000,0.190005,248231,2025-06-10 11:22:19
3,20000,0.171195,248318,2025-06-10 11:22:19
4,20000,0.170211,248405,2025-06-10 11:22:19
5,20000,0.181607,248581,2025-06-10 11:22:19
6,20000,0.169588,248282,2025-06-10 11:22:19
7,20000,0.181577,248331,2025-06-10 11:22:19
8,20000,0.183211,248415,2025-06-10 11:22:20
9,20000,0.177057,248326,2025-06-10 11:22:20
10,20000,0.175997,248443,2025-06-10 11:22:20
1,20000,0.184036,248325,2025-06-10 11:22:20
2,20000,0.179489,248231,2025-06-10 11:22:20
3,20000,0.17818,248318,2025-06-10 11:22:21
4,20000,0.178435,248405,2025-06-10 11:22:21
5,20000,0.196371,248581,2025-06-10 11:22:21
6,20000,0.24333,248282,2025-06-10 11:22:21
7,20000,0.189686,248331,2025-06-10 11:22:21
8,20000,0.181963,248415,2025-06-10 11:22:22
9,20000,0.182936,248326,2025-06-10 11:22:22
10,20000,0.188555,248443,2025-06-10 11:22:22
1,20000,0.18408,248325,2025-06-10 11:22:22
2,20000,0.179519,248231,2025-06-10 11:22:22
3,20000,0.17398,248318,2025-06-10 11:22:22
4,20000,0.177818,248405,2025-06-10 11:22:23
5,20000,0.175601,248581,2025-06-10 11:22:23
6,20000,0.174797,248282,2025-06-10 11:22:23
7,20000,0.175907,248331,2025-06-10 11:22:23
8,20000,0.192347,248415,2025-06-10 11:22:23
9,20000,0.182213,248326,2025-06-10 11:22:24
10,20000,0.184017,248443,2025-06-10 11:22:24
